"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Управление проектами","3","0","Форма проекта","0"
"0","","0","Управление проектами","1","0","Валидация формы","0"
"0","","0","Управление договорами","1","0","Управление видами работ","0"
"0","","0","Управление договорами","1","0","Форма договора","0"
"0","","0","Авторизация","2","0","Негативные сценарии","0"
"0","","0","Управление проектами","1","0","Заполнение формы","0"
"0","","0","Управление договорами","1","0","Управление менеджерами","0"
"0","","0","Управление договорами","1","0","Создание и поиск договора","0"
"0","","0","Авторизация","1","0","Форма логина","0"
"0","","0","Управление проектами","1","0","Создание и поиск проекта","0"
"0","","0","Авторизация","1","0","Успешная авторизация","0"
