"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка наличия кнопки Закрыть","5","Проверка отображения кнопки 'Закрыть'","tests.tdo_page.project_page","2026-08-12","passed","2026-08-12","TestProject","test_project","",""
"Тест проверяет, что форма не сохраняется без обязательного поля Код","1121","Проверка валидации пустого обязательного поля Код","tests.tdo_page.project_page","2026-08-12","passed","2026-08-12","TestProject","test_project","",""
"Тест кнопки удаления вида работ","1502","Удаление вида работ из договора","tests.tdo_page.contract_page","2026-08-12","passed","2026-08-12","TestContract","test_contract","",""
"Тест проверяет, что форма договора корректно закрывается по кнопке","1864","Проверка кнопки закрытия формы","tests.tdo_page.contract_page","2026-08-12","passed","2026-08-12","TestContract","test_contract","",""
"Тест проверяет появление ошибки при вводе неправильного пароля","3223","Проверка входа с неверным паролем","tests.login_page","2026-08-12","passed","2026-08-12","TestLoginPage","test_login","",""
"Проверка наличия кнопки Сохранить","8","Проверка отображения кнопки 'Сохранить'","tests.tdo_page.project_page","2026-08-12","passed","2026-08-12","TestProject","test_project","",""
"Тест заполнения всех полей формы без сохранения","2014","Заполнение всех полей формы без сохранения","tests.tdo_page.project_page","2026-08-12","passed","2026-08-12","TestProject","test_project","",""
"Тест кнопки удаления менеджера","2416","Удаление менеджера из договора","tests.tdo_page.contract_page","2026-08-12","passed","2026-08-12","TestContract","test_contract","",""
"Полный цикл: создание договора, поиск в списке и открытие","10015","Создание, поиск и открытие договора","tests.tdo_page.contract_page","2026-08-12","passed","2026-08-12","TestContract","test_contract","",""
"Тест проверяет, что форма авторизации отображается корректно","3481","Проверка отображения формы логина","tests.login_page","2026-08-12","passed","2026-08-12","TestLoginPage","test_login","",""
"Тест проверяет, что вход невозможен с пустыми учетными данными","3215","Проверка входа с пустыми полями","tests.login_page","2026-08-12","passed","2026-08-12","TestLoginPage","test_login","",""
"Полный цикл: создание проекта, поиск в списке и открытие","7550","Создание, поиск и открытие проекта","tests.tdo_page.project_page","2026-08-12","passed","2026-08-12","TestProject","test_project","",""
"Тест проверяет успешный вход в систему с валидными учетными данными","1020","Проверка входа с корректными данными","tests.login_page","2026-08-12","passed","2026-08-12","TestLoginPage","test_login","",""
"Тест проверяет, что форма проекта корректно закрывается по кнопке","1896","Проверка кнопки закрытия формы","tests.tdo_page.project_page","2026-08-12","passed","2026-08-12","TestProject","test_project","",""
